experiment,acc_mean,acc_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
C0-real-epoch,0.5659340659340659,0.10056596273474246,0.5063636363636363,0.0701843957238511,-0.0027817104754299673,0.13383740800188404,0.2543145743145743,0.15800890839227166,0.39999999999999997,0.2788866755113585,0.6127272727272727,0.19097401493440222
C0-real-60ep,0.6120879120879121,0.06013911337367969,0.5121212121212121,0.10260607850507279,0.0166587379742041,0.19230682675730415,0.2626984126984127,0.1641054144433835,0.3333333333333333,0.23570226039551584,0.6909090909090909,0.08813963377120601
C0-real-80ep,0.6714285714285715,0.0986259909999006,0.5503030303030303,0.1143482750519053,0.10796369568737091,0.23604525473252042,0.30603174603174604,0.1808911063060867,0.3333333333333333,0.23570226039551584,0.7672727272727272,0.13400999099302416
C0-real-120ep,0.7758241758241758,0.07477373993935822,0.6175757575757576,0.16844982740453335,0.2693568023328973,0.38504631084879365,0.3333333333333333,0.31180478223116176,0.3333333333333333,0.408248290463863,0.9018181818181819,0.12254194761639721
C0-real-step,0.7604395604395604,0.08383398295718966,0.5842424242424242,0.12067399487663348,0.21454373628176382,0.3451435716671828,0.3,0.27386127875258304,0.26666666666666666,0.2788866755113585,0.9018181818181819,0.12254194761639721
SD2.1-I2I-noCN-C1-matched,0.7142857142857143,0.09053437941364878,0.6260606060606061,0.14152439785509102,0.23931815539166407,0.275984354644883,0.38337662337662337,0.22867176074212583,0.4666666666666667,0.38005847503304596,0.7854545454545455,0.16671349204474142
SDXL-I2I-noCN-C1-matched,0.7153846153846154,0.0677853648935874,0.6027272727272728,0.1744149343653239,0.16831232824403003,0.3388229447862557,0.3142857142857143,0.2969229955832361,0.39999999999999997,0.4346134936801766,0.8054545454545454,0.12458194555000654
DataDream-I2I-noCN-C1-matched,0.7450549450549451,0.08873243621180811,0.6218181818181818,0.19802340531911408,0.21228982728000664,0.38920715306127956,0.3466666666666667,0.3346640106136302,0.39999999999999997,0.4346134936801766,0.8436363636363636,0.09257563358618885
DataDream-I2I-noCN-C2-soft,0.7593406593406593,0.08828902706705291,0.6551515151515152,0.1755831161311923,0.29811162461661883,0.3341930736791237,0.42666666666666664,0.27325202042558927,0.4666666666666667,0.38005847503304596,0.8436363636363636,0.09257563358618885
FoundHand-DataDream-I2I-noCN-C1-matched,0.7296703296703296,0.1072062365374226,0.6360606060606061,0.14912662789670414,0.2566289158407678,0.30492035393265066,0.4165079365079365,0.2554954084794759,0.4666666666666666,0.2981423969999719,0.8054545454545454,0.12458194555000654
FoundHand-DataDream-I2I-noCN-C2-soft,0.743956043956044,0.09272537630650102,0.6684848484848485,0.16588798814179917,0.31191490015376777,0.32365882319598527,0.44761904761904764,0.26886846120939245,0.5333333333333333,0.38005847503304596,0.8036363636363636,0.1262294906015257
