experiment,fold,acc,balanced_accuracy,mcc,f1,sensitivity,specificity
C0-real-epoch,0,0.5384615384615384,0.5833333333333333,0.14085904245475275,0.4,0.6666666666666666,0.5
C0-real-epoch,1,0.7142857142857143,0.45454545454545453,-0.14484136487558028,0.0,0.0,0.9090909090909091
C0-real-epoch,2,0.5,0.5606060606060606,0.10050378152592121,0.36363636363636365,0.6666666666666666,0.45454545454545453
C0-real-epoch,3,0.46153846153846156,0.41666666666666663,-0.14085904245475275,0.2222222222222222,0.3333333333333333,0.5
C0-real-epoch,4,0.6153846153846154,0.5166666666666666,0.03042903097250923,0.28571428571428575,0.3333333333333333,0.7
C0-real-60ep,0,0.6153846153846154,0.6333333333333333,0.2253744679276044,0.4444444444444444,0.6666666666666666,0.6
C0-real-60ep,1,0.5714285714285714,0.36363636363636365,-0.2727272727272727,0.0,0.0,0.7272727272727273
C0-real-60ep,2,0.6428571428571429,0.5303030303030303,0.055048188256318034,0.28571428571428575,0.3333333333333333,0.7272727272727273
C0-real-60ep,3,0.5384615384615384,0.4666666666666667,-0.05773502691896257,0.25,0.3333333333333333,0.6
C0-real-60ep,4,0.6923076923076923,0.5666666666666667,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.8
C0-real-80ep,0,0.6153846153846154,0.6333333333333333,0.2253744679276044,0.4444444444444444,0.6666666666666666,0.6
C0-real-80ep,1,0.5714285714285714,0.36363636363636365,-0.2727272727272727,0.0,0.0,0.7272727272727273
C0-real-80ep,2,0.7857142857142857,0.6212121212121212,0.2842676218074806,0.4,0.3333333333333333,0.9090909090909091
C0-real-80ep,3,0.6153846153846154,0.5166666666666666,0.03042903097250923,0.28571428571428575,0.3333333333333333,0.7
C0-real-80ep,4,0.7692307692307693,0.6166666666666667,0.27247463045653303,0.4,0.3333333333333333,0.9
C0-real-120ep,0,0.7692307692307693,0.85,0.5916079783099616,0.6666666666666666,1.0,0.7
C0-real-120ep,1,0.7142857142857143,0.45454545454545453,-0.14484136487558028,0.0,0.0,0.9090909090909091
C0-real-120ep,2,0.8571428571428571,0.6666666666666666,0.5310850045437943,0.5,0.3333333333333333,1.0
C0-real-120ep,3,0.6923076923076923,0.45,-0.15811388300841897,0.0,0.0,0.9
C0-real-120ep,4,0.8461538461538461,0.6666666666666666,0.5270462766947299,0.5,0.3333333333333333,1.0
C0-real-step,0,0.6923076923076923,0.6833333333333333,0.31754264805429416,0.5,0.6666666666666666,0.7
C0-real-step,1,0.7142857142857143,0.45454545454545453,-0.14484136487558028,0.0,0.0,0.9090909090909091
C0-real-step,2,0.8571428571428571,0.6666666666666666,0.5310850045437943,0.5,0.3333333333333333,1.0
C0-real-step,3,0.6923076923076923,0.45,-0.15811388300841897,0.0,0.0,0.9
C0-real-step,4,0.8461538461538461,0.6666666666666666,0.5270462766947299,0.5,0.3333333333333333,1.0
SD2.1-I2I-noCN-C1-matched,0,0.6153846153846154,0.75,0.4330127018922193,0.5454545454545454,1.0,0.5
SD2.1-I2I-noCN-C1-matched,1,0.7857142857142857,0.6212121212121212,0.2842676218074806,0.4,0.3333333333333333,0.9090909090909091
SD2.1-I2I-noCN-C1-matched,2,0.7857142857142857,0.7424242424242424,0.4403855060505443,0.5714285714285715,0.6666666666666666,0.8181818181818182
SD2.1-I2I-noCN-C1-matched,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
SD2.1-I2I-noCN-C1-matched,4,0.7692307692307693,0.6166666666666667,0.27247463045653303,0.4,0.3333333333333333,0.9
SDXL-I2I-noCN-C1-matched,0,0.6923076923076923,0.8,0.50709255283711,0.6,1.0,0.6
SDXL-I2I-noCN-C1-matched,1,0.7142857142857143,0.45454545454545453,-0.14484136487558028,0.0,0.0,0.9090909090909091
SDXL-I2I-noCN-C1-matched,2,0.7857142857142857,0.7424242424242424,0.4403855060505443,0.5714285714285715,0.6666666666666666,0.8181818181818182
SDXL-I2I-noCN-C1-matched,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
SDXL-I2I-noCN-C1-matched,4,0.7692307692307693,0.6166666666666667,0.27247463045653303,0.4,0.3333333333333333,0.9
DataDream-I2I-noCN-C1-matched,0,0.7692307692307693,0.85,0.5916079783099616,0.6666666666666666,1.0,0.7
DataDream-I2I-noCN-C1-matched,1,0.7142857142857143,0.45454545454545453,-0.14484136487558028,0.0,0.0,0.9090909090909091
DataDream-I2I-noCN-C1-matched,2,0.8571428571428571,0.7878787878787878,0.5757575757575758,0.6666666666666666,0.6666666666666666,0.9090909090909091
DataDream-I2I-noCN-C1-matched,3,0.6153846153846154,0.4,-0.23354968324845687,0.0,0.0,0.8
DataDream-I2I-noCN-C1-matched,4,0.7692307692307693,0.6166666666666667,0.27247463045653303,0.4,0.3333333333333333,0.9
DataDream-I2I-noCN-C2-soft,0,0.7692307692307693,0.85,0.5916079783099616,0.6666666666666666,1.0,0.7
